,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
0,AACE Clinical Case Reports, 2376-0605,,,,
1,AASRI Procedia, 2212-6716,,,,
2,Academic Pathology, 2374-2895,,,,1
3,Academic Pediatrics,, 1876-2867,, 1876-2859,3.1
4,Academic Radiology,, 1878-4046, 1076-6332,,4.8
5,ACC Current Journal Review, 1062-1458,,,,
6,Accident Analysis & Prevention,, 1879-2057, 0001-4575,,5.9
7,Accident and Emergency Nursing, 0965-2302,,,,
8,Accounting Forum, 0155-9982,,,,
9,"Accounting, Management and Information Technologies", 0959-8022,,,,
10,"Accounting, Organizations and Society",, 1873-6289, 0361-3682,,4.7
11,Accounting Theory and Practice, 2949-9453,,,,
12,Achievements in the Life Sciences, 2078-1520,,,,
13,ACOG Clinical Review, 1085-6862,,,,
14,Acta Agronomica Sinica, 1875-2780,,,,
15,Acta Anaesthesiologica Taiwanica, 1875-4597,,,,
16,Acta Astronautica,, 1879-2030, 0094-5765,,3.5
17,Acta Automatica Sinica, 1874-1029,,,,
18,Acta Biomaterialia,, 1878-7568, 1742-7061,,9.7
19,Acta Colombiana de Cuidado Intensivo,, 2773-0697, 0122-7262,,
20,Acta Crystallographica Section E Crystallographic Communications, 2056-9890,,,,
21,Acta Ecologica Sinica,, 1872-2032,,,
22,Acta Genetica Sinica, 0379-4172,,,,
23,Acta Haematologica Polonica, 0001-5814,,,,
24,Acta Histochemica,, 1618-0372, 0065-1281,,2.5
25,Acta de Investigación Psicológica, 2007-4719,,,,
26,Acta Materialia,, 1873-2453, 1359-6454,,9.4
27,Acta Mathematica Scientia, 0252-9602,,,,
28,Acta Mechanica Solida Sinica, 0894-9166,,,,
29,Acta Metallurgica, 0001-6160,,,,
30,Acta Metallurgica et Materialia, 0956-7151,,,,
31,Acta Metallurgica Sinica (English Letters), 1006-7191,,,,
32,Acta Oecologica,, 1873-6238, 1146-609X,,1.8
33,Acta Orthopaedica et Traumatologica Turcica, 1017-995X,,,,
34,Acta Otorrinolaringologica (English Edition),, 2173-5735,,,
35,Acta Otorrinolaringológica Española,, 1988-3013, 0001-6519,,1
36,Acta Pharmaceutica Sinica B,, 2211-3843, 2211-3835,,14.5
